Date,Axis Bank,Coal India,Dr. Reddy,HDFC Bank,ICICI Bank,Infosys,Nestle India,Reliance,TCS,Wipro
08-06-2022,657.598999,178.747314,4142.761719,1367.400024,725.148376,1483.784302,16624.80469,2715.873291,3319.188232,469.244202
09-06-2022,660.294922,179.742111,4264.850098,1377.699951,728.379028,1498.622192,16668.94336,2790.349121,3341.56543,473.882782
10-06-2022,659.695862,179.516022,4293.115723,1351.099976,715.705078,1460.835205,16675.65234,2706.102783,3276.042236,459.817444
13-06-2022,647.963684,172.778534,4209.898926,1326.599976,683.895935,1409.100586,16754.73047,2654.906738,3139.244385,445.003937
14-06-2022,649.760925,173.818527,4253.159668,1312,681.410889,1424.977051,16771.63086,2620.211426,3130.419922,444.804413
15-06-2022,649.511353,171.874161,4277.28125,1307.449951,683.150452,1406.825317,16702.89063,2588.506836,3126.276123,439.018677
16-06-2022,633.935059,162.69487,4229.925781,1281.300049,674.452637,1382.095581,16774.16602,2552.315674,3063.580811,421.26239
17-06-2022,634.234619,165.18187,4091.016602,1289.75,682.752808,1372.302734,16543.9375,2582.225586,3011.805908,404.204437
20-06-2022,627.345032,159.936569,4096.047852,1322.150024,681.858215,1398.862427,16866.71484,2535.416504,3034.719482,413.631195
21-06-2022,635.532593,167.126251,4211.329102,1336.550049,691.947632,1434.225952,16871.38867,2576.343506,3131.785156,424.105377
22-06-2022,625.847351,162.197479,4203.683105,1330.25,682.504272,1421.712646,16675.90234,2498.079102,3142.510498,410.239563
23-06-2022,628.393433,160.20787,4237.226074,1335.150024,694.979492,1436.748291,16875.86133,2457.551025,3226.217773,418.020386
24-06-2022,633.036438,159.665268,4251.77832,1353.800049,709.194153,1425.521118,17129.70117,2492.545654,3210.909912,417.72113
27-06-2022,636.131653,164.639267,4262.531738,1356.25,713.070862,1458.658936,17255.55078,2485.167725,3231.970459,423.856018
28-06-2022,641.373718,168.573227,4315.856445,1345.900024,706.062927,1464.148926,17300.93164,2520.112549,3235.334473,426.200226
29-06-2022,624.599243,170.698471,4305.743652,1343.949951,698.557983,1447.431641,17395.51953,2572.405029,3208.374512,419.716217
30-06-2022,635.832153,167.849747,4334.797852,1348,702.981445,1446.096191,17366.64063,2587.858643,3185.558594,415.02774
01-07-2022,642.971313,165.724487,4327.004395,1353.75,699.701111,1463.407104,17689.76758,2401.469727,3232.36084,420.963135
04-07-2022,653.355469,164.639267,4295.977051,1355.650024,715.804443,1471.914063,17888.08789,2406.454834,3154.308594,419.267303
05-07-2022,647.514343,165.000992,4335.193359,1352.599976,715.158386,1459.994263,17878.59375,2425.946045,3136.026611,412.583771
06-07-2022,656.950012,164.322723,4331.049316,1371.25,721.619568,1475.524658,18279.85547,2404.610352,3179.367188,415.02774
07-07-2022,658.150024,168.211487,4278.21875,1395.800049,737.573853,1482.498413,18097.24023,2380.931641,3205.790771,419.766083
08-07-2022,669.150024,171.648071,4347.032227,1397.099976,751.192139,1498.078125,18310.17578,2384.22168,3183.949707,418.070282
11-07-2022,679.849976,174.858566,4471,1406.150024,764.90979,1457.224609,18380.00977,2416.624023,3036.084961,410.189697
12-07-2022,676.200012,175.355957,4483.700195,1391.800049,755.367065,1423.048096,18017.91406,2413.18457,3007.710938,408.144714
13-07-2022,679.900024,174.94899,4501.600098,1357.849976,748.707031,1428.834839,18141.67773,2370.41333,2962.907959,405.700745
14-07-2022,668.25,173.637665,4575.399902,1351.050049,747.911804,1413.403442,18254.65625,2389.954346,2931.624023,400.463654
15-07-2022,662.200012,174.903763,4546,1362.050049,746.718994,1414.887329,18660.43945,2394.590576,2927.567139,392.882294
18-07-2022,684.5,176.893387,4466.100098,1347.550049,767.394897,1473.793579,18515.20508,2414.979248,2994.924805,403.755524
19-07-2022,700.599976,179.289932,4447.899902,1348.050049,775.993286,1468.105713,18268.96875,2429.784668,3005.434082,404.65329
20-07-2022,705.700012,178.928177,4458.75,1365.050049,778.42865,1498.918945,18506.95313,2495.486816,3093.957275,411.087463
